text,label,Pattern Category
3 people are looking at this product,1,Social Proof
38 people are viewing this,1,Social Proof
"no thanks, I don't like to save",1,Misdirection
00 HRS 57 MINS 56 SECS,1,Urgency
Shop all interactive whiteboards,0,Not Dark Pattern
Sign up to stay up to date on all White Cloud news and savings!,0,Not Dark Pattern
"Stacey in Saint Marys, United States purchased Extra Long (10 Ft) Fiber Cloth Sync & Charge USB Android Cable - Assorted Colors about 30 minutes ago",1,Social Proof
Hurry! Only 6 left in stock!,1,Scarcity
Only 1 Left in this Size!,1,Scarcity
These pieces are not yet in stock but will be shipped as soon as they are available. The estimated ship date will be noted on the product page.,0,Not Dark Pattern
"Our website implements the ARIA attributes (Accessible Rich Internet Applications) technique, alongside various behavioral changes, to ensure blind users visiting with screen-readers can read, comprehend, and enjoy the website’s functions. As soon as a user with a screen-reader enters your site, they immediately receive a prompt to enter the Screen-Reader Profile so they can browse and operate your site effectively. Here’s how our website covers some of the most important screen-reader requirements:",0,Not Dark Pattern
Only 7 left!,1,Scarcity
 Yearly ,0,Not Dark Pattern
" to resolve the issue, or ",0,Not Dark Pattern
Shop by Activity,0,Not Dark Pattern
 Home » ,0,Not Dark Pattern
Lace Front African American Wigs,0,Not Dark Pattern
SRX Remotes,0,Not Dark Pattern
 PAVILION LONG SLEEVE SHIRT DRESS Cornflower Stripe ,0,Not Dark Pattern
"Son in Suisun City, United States purchased Commander Lex",1,Social Proof
All Brands A-Z ,0,Not Dark Pattern
Icon MTB Socks - Black/Green,0,Not Dark Pattern
Focus remotes,0,Not Dark Pattern
3DAYS124606,1,Urgency
"To cancel your order before it ships, call us.",1,Obstruction
Signup for email updates from Car and Truck Remotes!,0,Not Dark Pattern
"Easy, awesome! ready to go. Held a charge first night",0,Not Dark Pattern
More than 752 users are adding shapewear to their cart. Is your size left?,1,Social Proof
Newborn & InfantYouthAdjustableFlexSnapbacksSale Items- View All -,0,Not Dark Pattern
Flat Top,0,Not Dark Pattern
CPUs & Processors,0,Not Dark Pattern
Brand Directory ,0,Not Dark Pattern
"No, I don't feel lucky.",1,Misdirection
Only 2 left in stock. Make it yours.,1,Scarcity
"For more information about the VIP Rewards Club Membership, to purchase or terminate a membership, or to start or stop automatic renewal of a membership, contact Ross-Simons Customer Service by postal mail at: Ross-Simons, 9 Ross-Simons Drive, Cranston, Rhode Island 02920; or by email at customerservice@ross-simons.com; or by calling the VIP Rewards Club priority line at 800-835-3799.",1,Obstruction
  ,0,Not Dark Pattern
"Sayeeganesh in Chennai, India just bought Dhoni the Finisher T-Shirt an hour ago",1,Social Proof
Only 1 left in stock.,1,Scarcity
 Candy & Snacks ,0,Not Dark Pattern
"Only 1 left , In Stock",1,Scarcity
65% of our customers added Surefit protection this year.,1,Social Proof
50% OFF for Limited Time Only!!!,1,Urgency
 Active Filters English English ✘ Remove Filter ,0,Not Dark Pattern
HURRY! ENDS IN: 11 HRS 20 MIN 13 SEC,1,Urgency
"Sabrina in Paraparaumu, New Zealand purchased a SCHO-KA-KOLA Schokakola energy Chocolate caffeine snack food MRE caffeinated ",1,Social Proof
YOUR CART IS ELIGIBLE FOR AN ADDITIONAL 10% OFF Including Current Promotions + Sale & Clearance 00 hours :29 minutes :26 seconds CHECK OUT NOW,1,Urgency
 MIN Twins ,0,Not Dark Pattern
Wedding Cross Stich & Embroidery Patterns,0,Not Dark Pattern
Choose Type of Cookies You Accept Using,0,Not Dark Pattern
 ★ ★ ★ ★ ★ ,0,Not Dark Pattern
10 SEATS LEFT,1,Scarcity
(Only 5 Left),1,Scarcity
 Mixed Wine Cases ,0,Not Dark Pattern
Let's make sure you have everything else you need,1,Misdirection
80% offers claimed. Hurry up!,1,Scarcity
WhiteBoho Rose Comforter and Sham Set,0,Not Dark Pattern
Your order is reserved for 09:57 minutes!,1,Urgency
 ₪ ILS ,0,Not Dark Pattern
 Cooling & Air Treatment ,0,Not Dark Pattern
"Mother’s Day is undoubtedly a significant occasion for all mothers. But, for the new moms, it is even more special. If you........... Read More...",0,Not Dark Pattern
LAYAWAY SALE WE WILL MATCH YOUR INITIAL PAYMENT. LIMITED TIME ONLY,1,Urgency
HURRY! ENDS IN: 10 HRS 40 MIN 00 SEC,1,Urgency
Mary Janes,0,Not Dark Pattern
Select Your Year,0,Not Dark Pattern
What treats can I use?,0,Not Dark Pattern
We curate the very best in creative and innovative fashion for the EDM Lifestyle. ,0,Not Dark Pattern
Only 20 left,1,Scarcity
 Terms of Service ,0,Not Dark Pattern
Upright Plants,0,Not Dark Pattern
Your one-time offer! Enjoy 10% off sitewide. Applied at checkout Offer ends in: 04 hrs 37 min 56 sec,1,Urgency
"""Your purchase entitles you to the following special""",1,Misdirection
 Brass Shankh ,0,Not Dark Pattern
2 people are looking right now,1,Social Proof
Boys Shorts,0,Not Dark Pattern
IN HIGH DEMAND!,1,Scarcity
Low Stock Only 2 left,1,Scarcity
Anaheim DucksArizona CoyotesCalgary FlamesChicago BlackhawksColorado AvalancheDallas StarsEdmonton OilersLos Angeles KingsMinnesota Wild,0,Not Dark Pattern
Blankets Throws,0,Not Dark Pattern
Shop Disposables,0,Not Dark Pattern
 Free Delivery to Home & Next day delivery available to store* ,0,Not Dark Pattern
Limited-time Deal,1,Scarcity
Limited time - Free Shipping on all orders*,1,Urgency
Surgical & Face Masks,0,Not Dark Pattern
Hurry! Only 4 left in stock.,1,Scarcity
"No thanks, I despise coupons!",1,Misdirection
Shop Men's Styles,0,Not Dark Pattern
"If you are one of those constantly devoted to healthy eating, weight loss plans,..",0,Not Dark Pattern
"JULIE in Oak Brook, United States purchased a Watercolor Brush Pens 24 Refillable Colors with Travel Case about 10 hours ago",1,Social Proof
"For a limited time, buy 2 Hydroxycut Hardcore Elite, 30 Servings for $30!",1,Urgency
(5 Left),1,Scarcity
 Choosing the Best Plus Size Briefs ,0,Not Dark Pattern
FREE SHIPPING FOR A LIMITED TIME | PRICES ARE IN USD AND INCLUDE ALL IMPORT DUTIES.,1,Urgency
 Cable Winders ,0,Not Dark Pattern
TSX Remotes,0,Not Dark Pattern
Only 3 Left In Stock,1,Scarcity
Baby Bathtubs,0,Not Dark Pattern
Only 14 left,1,Scarcity
33 people are eyeing this item!,1,Social Proof
"Nice choice. Did you know you’re missing out on these deals with the item in your cart. Suit + Shirt + Tie now $599.99* - Shop Suits, Shirts and Ties Or Get 2 Suit Packages for $1100*",1,Misdirection
"No thanks, I don't like saving money",1,Misdirection
Only 1 Left in Stock. Buy Soon!,1,Scarcity
19 people have viewed this item,1,Social Proof
Crossman Air Pistols,0,Not Dark Pattern
"No Thanks, I'd Rather Pay Full Price",1,Misdirection
Harry Potter ,0,Not Dark Pattern
FilterSortFeaturedPrice: Low to HighPrice: High to LowAlphabetical: A-ZAlphabetical: Z-A,0,Not Dark Pattern
We only have 8.0000 left in Stock,1,Scarcity
"Hurry, Sale ends in 9 Hours!",1,Urgency
Jewelry Care Kit,0,Not Dark Pattern
Give a Gift,0,Not Dark Pattern
 First name * ,0,Not Dark Pattern
166 people have added this item to cart,1,Social Proof
LIMITED TIME LEFT! 00 : 46 : 11,1,Urgency
Speak with our customer-care executive who will help you with your buying.,0,Not Dark Pattern
Mechanic's Wear,0,Not Dark Pattern
Please note: we do not ship to PO Boxes,0,Not Dark Pattern
"Michael M. from Lacey, WA just bought a Cal King",1,Social Proof
"Products are automatically delivered on your schedule. No obligation, modify or cancel your subscription anytime. ",0,Not Dark Pattern
There are only 1 item left in stock.,1,Scarcity
Free Shipping*,0,Not Dark Pattern
"Crystals are alive. Born inside Mother Earth, crystal energy can be felt just like heat or cold. For chakra training to astrological remedies, discover healing crystals.",0,Not Dark Pattern
A-Z Luxury Brands,0,Not Dark Pattern
ALMOST GONE - only 2 remaining!,1,Scarcity
Offer ends in 03 days 19 hours : 54 mins : 22 secs,1,Urgency
Over 200 views in 24 hrs,1,Social Proof
"Hurry, only 302 left.",1,Scarcity
Shotgun Bore Mops,0,Not Dark Pattern
POPULAR 64 others checked this out in the last few hours.,1,Social Proof
ONLY 5 LEFT IN STOCK,1,Scarcity
"No thanks, I hate saving money",1,Misdirection
Moroccan Rugs,0,Not Dark Pattern
ONLY AVAILABLE FOR A LIMITED TIME,1,Urgency
 Sprouting ,0,Not Dark Pattern
Help us #savethefishies.,0,Not Dark Pattern
5 items left,1,Scarcity
This product was viewed 26 seconds ago by someone from Princeton,1,Social Proof
ONLY 1 ITEM LEFT!,1,Scarcity
ONLY 11 LEFT,1,Scarcity
Only a few left of this product!,1,Scarcity
JFN Scallop V Neck Solid Casual T-Shirt/Tee,0,Not Dark Pattern
Purchased 6 times this week.,1,Social Proof
Crochet Baby Patterns,0,Not Dark Pattern
Felizer Designer Diamond studded Round Dial Metal starp watch for Women & Girls - Silver (Heart design) Analog,0,Not Dark Pattern
 Home / Black Tapered Belted Cigarette Trousers - Myasia ,0,Not Dark Pattern
Only 4 left at this price,1,Scarcity
"Once a celebrated author of short stories now in his twilight years, ",0,Not Dark Pattern
Recent Searches,0,Not Dark Pattern
 Brand case & cloth included ,0,Not Dark Pattern
Hair Color + Highlights,0,Not Dark Pattern
"We combined powerful, yet gentle acne-fighting ingredients with our own unique plant-based complexes to help reduce irritation and redness associated with acne and breakouts. The result? Skin that’s nourished, smooth, and most importantly, clear!",0,Not Dark Pattern
"Only 2 left, order soon",1,Scarcity
 Food ,0,Not Dark Pattern
MORE WAYS TO SHOP,0,Not Dark Pattern
Your shopping cart is empty.,0,Not Dark Pattern
Coin Necklace ,0,Not Dark Pattern
Mallet E Speed Lace - Black/Silver,0,Not Dark Pattern
"Someone from Huntingtown, Maryland, United States purchased TopCoat® F11® Polish & Sealer - Web Special Kits Just Now",1,Social Proof
You may cancel your VIP membership at any time by calling 1-866-337-0906 (open 24/7).,1,Obstruction
Items in your cart are in VERY high-demand.,1,Scarcity
Sign up to our mailing list here and be the first to know about exclusive offers and events,0,Not Dark Pattern
Items in your cart are selling fast,1,Scarcity
"No thanks, I don't like winning.",1,Misdirection
Laundry Care,0,Not Dark Pattern
Low in stock: only 2 left.,1,Scarcity
Deal Ends In 2 : DAYS13 : HRS10 : MIN24 SEC,1,Urgency
"Order soon, only 1 left!",1,Scarcity
This campaign was taken down for content reasons,0,Not Dark Pattern
"Hurry, only 2 left in stock!",1,Scarcity
AdjustableSnapbacksSale Items- View All -,0,Not Dark Pattern
ONLY 5 LEFT IN STOCK!,1,Scarcity
Over 238 people have bought this product,1,Social Proof
Order in 13:16 to get $200 off your mattress,1,Urgency
 Bob Ross Oil Brushes ,0,Not Dark Pattern
"No Thanks, I'd rather pay full price",1,Misdirection
Terra - Medium Brown,0,Not Dark Pattern
Warning: Last items in stock!,1,Scarcity
Work With More Buyers And Sellers?,0,Not Dark Pattern
 Lighting,0,Not Dark Pattern
 Round Neck Casual Loose Patchwork Printed Short Sleeve Blouse ,0,Not Dark Pattern
39 recently purchased it,1,Social Proof
Limited Time Offer: 10% Off your first order!,1,Urgency
Computer Accessories,0,Not Dark Pattern
Aromatherapy ,0,Not Dark Pattern
A Ritual of Light,0,Not Dark Pattern
Hurry only 2 left,1,Scarcity
21 people looked at this during the last 24 hours,1,Social Proof
Black Jeans,0,Not Dark Pattern
Build your own powerful multi-vendor marketplace website,0,Not Dark Pattern
"Items in your cart are in high demand, but we have reserved your order.",1,Scarcity
167 piece(s) left for this promo,1,Scarcity
"No Thanks, I don't like free stuff.",1,Misdirection
Only 32 left in stock,1,Scarcity
Less than 10 left!,1,Scarcity
CUSTOMER SERVICE,0,Not Dark Pattern
Hurry! Sale ends in:,1,Urgency
NRA Firearms For Freedom,0,Not Dark Pattern
Low in stock,1,Scarcity
Availability: Only 1 Left,1,Scarcity
 Printed Long Sleeves Casual Blouse For Women ,0,Not Dark Pattern
Straight Hair Extensions,0,Not Dark Pattern
Radio and GPS Pouches,0,Not Dark Pattern
Only 3 left!,1,Scarcity
Only 4 unit(s) available!,1,Scarcity
Anniversary Gifts by Year,0,Not Dark Pattern
All Scrapbooking Supplies,0,Not Dark Pattern
"No USB or Y-Adapter!? Our USB Sound Card is highly recommended for PC (Mac/Linux/Windows) and works with current gen consoles. The Y adapter is recommended for console gaming, phone, or other TRRS jacks.",1,Misdirection
 New In,0,Not Dark Pattern
146 people recently purchased this.,1,Social Proof
Only 25 Deals left,1,Scarcity
HOW TO MANAGE SIDE EFFECTS,0,Not Dark Pattern
Website Accessibility,0,Not Dark Pattern
 Item added to cart. View cart and check out. Close ,0,Not Dark Pattern
Heat Mats & Strips,0,Not Dark Pattern
HURRY! YOUR 10% OFF EXPIRES IN 29:43,1,Urgency
3 people bought this item last week.,1,Social Proof
 Share on Pinterest ,0,Not Dark Pattern
Only 8 left in stock,1,Scarcity
Hurry! This special sale ends in 2h 42m 0s,1,Urgency
Hype. Home,0,Not Dark Pattern
VIP OFFERS END 00:54:59,1,Urgency
"Roommates agreement... need i say more? this is a great poster for the walls of any house that has more than one person living in it. if you're alone, get it all the same - it'll make you laugh at any given time :)",0,Not Dark Pattern
This is how you can reject or delete your cookies,0,Not Dark Pattern
Ericdress Round Neck Three-Quarter Sleeve Mid-Calf Pullover Fall Women's Dress,0,Not Dark Pattern
 Email Address ,0,Not Dark Pattern
Your cart is reserved for 14:57 minutes!,1,Urgency
"No thanks, I don't want any deals",1,Misdirection
Toddler Boy Underwear and Undershirts,0,Not Dark Pattern
Collegiate Shooting Programs,0,Not Dark Pattern
ONLY 1 ITEM LEFT,1,Scarcity
01 Hours 37 Minutes 48 Seconds 1/10s,1,Urgency
 Supporting All Artists Create because you can ,0,Not Dark Pattern
HomeFlowersColourful Mixed Roses Bouquet,0,Not Dark Pattern
Send as giftexpand_more,0,Not Dark Pattern
Delivery & Returns,0,Not Dark Pattern
Only: 9 in stock now,1,Scarcity
"Only 3 left , In Stock",1,Scarcity
Livefood Subscription,0,Not Dark Pattern
Grocery & Liquor,0,Not Dark Pattern
 For Wife ,0,Not Dark Pattern
"UP TO 60% OFF SPRING SALE PLUS 10% OFF ALL SHOWERS ENTER CODE SHOWERS10 AT CHECKOUT, MUST END TUESDAY 02DAYS  :  04HOURS  :  13MINS  :  28SECS",1,Urgency
Great for keeping track of your pup while at work,0,Not Dark Pattern
 Subscribe ,0,Not Dark Pattern
Powered by,0,Not Dark Pattern
JerseysPantsSleepwear & UnderwearSwim CollectionT-ShirtsSale Items- View All -,0,Not Dark Pattern
"Hurry, Only a few left!",1,Scarcity
 I love this phone case! 😍 #phonecase #hiraeth #appleiphone #apple #rosegold #loveit ,0,Not Dark Pattern
ONLY 1 LEFT IN THIS SIZE,1,Scarcity
Looking for your order history?,0,Not Dark Pattern
Only 82 left in stock!,1,Scarcity
Readers looking for some old-fashioned storytelling with a sprinkling of magic will find it here. ,0,Not Dark Pattern
Traditional Snacks,0,Not Dark Pattern
 Travel Accessories ,0,Not Dark Pattern
eWriters & Graphics Tablets,0,Not Dark Pattern
 EU Delivery & Returns ,0,Not Dark Pattern
LIMITED TIME OFFER MEN'S CHINOS & 5-POCKET PANTS BUY 2 FOR $59.90 EACH SHOP NOW,1,Urgency
Your order will be reserved for 6:56 minutes.,1,Urgency
LESS THAN 8 LEFT IN STOCK!,1,Scarcity
 United States ,0,Not Dark Pattern
Limited Time Sale - Buy Now!,1,Urgency
 Mobile Terms of Use ,0,Not Dark Pattern
 ALL SALE ,0,Not Dark Pattern
MyStore,0,Not Dark Pattern
JUST 1 LEFT!,1,Scarcity
"Don't snooze, only 1 left",1,Scarcity
I agree to receive marketing emails from Natural Life and agree to our Privacy Policy and terms of use.,1,Forced Action
"Don't miss out, only 2 left in stock",1,Scarcity
"Someone from Rochedale, Queensland, Australia started buying this!",1,Social Proof
 Please click ,0,Not Dark Pattern
 Box Springs & Foundations,0,Not Dark Pattern
Countdown,0,Not Dark Pattern
Men's Pullover Sweaters,0,Not Dark Pattern
 Tony Bianco ,0,Not Dark Pattern
 LOGO BLACK ,0,Not Dark Pattern
Everything was perfect. The delivery was very smooth and the products were in great condition as well.,0,Not Dark Pattern
 Face Masks,0,Not Dark Pattern
LIMITED TIME OFFER!,1,Urgency
Low In Stock Today,1,Scarcity
Lenscap: Damage Only,1,Misdirection
With 1-year Care Subscription 10 days history,1,Misdirection
About Ruth Hogan,0,Not Dark Pattern
Don't miss out on this item! There is only 1 left in stock.,1,Scarcity
"NO, THANKS. I DON'T LIKE DISCOUNTS ",1,Misdirection
"No thanks, I'd rather pay full price.",1,Misdirection
Wait! Take 10% off Your First Order Deal Expires Soon!,1,Urgency
Diamond Nose Studs,0,Not Dark Pattern
Perhaps you could...,0,Not Dark Pattern
"CANCELLATION POLICY: If you are not completely satisfied with Yogi Surprise, you can cancel your membership and discontinue your monthly payments at any time. In order to cancel before you are renewed for the next shipment, you need to contact Yogi Surprise prior to the renewal date on the 14th of each month. Email: support@yogisurprise.com and we’ll respond promptly. If your membership has already renewed and you’d like to cancel an upcoming shipment, you must request cancellation by the 3rd of the month to be eligible for a refund. IF YOU DO NOT CANCEL PRIOR TO THE THIRD DAY OF A CALENDAR MONTH, YOU CANNOT BE REFUNDED FOR THAT MONTH’S SHIPMENT. WE DO NOT OFFER REFUNDS ON BOXES THAT HAVE ALREADY BEEN SHIPPED. To request cancellation, simply click here and submit the contact form or email us: support@yogisurprise.com. We’ll get back to promptly!",1,Obstruction
Limited Time Only! 20% Off,1,Urgency
"Hurry, only 2 left in stock",1,Scarcity
 Casual V-Neck Sleeveless T-Shirt ,0,Not Dark Pattern
 Businesses in the EU buying from a business in the same country are also charged VAT.,0,Not Dark Pattern
"Someone in Flemington, United States purchased Anti-Aging Eyelid Tape (Contains 100 Strips) Just now",1,Social Proof
Hurry only 8 items left!,1,Scarcity
 Shop ,0,Not Dark Pattern
Someone in United States just purchased a,1,Social Proof
LIMITED TIME: $10 OFF! DISCOUNT REFLECTED IN PRICE!,1,Urgency
 Rechargeable ,0,Not Dark Pattern
 Redeem Gift Certificates ,0,Not Dark Pattern
Hurry! 1 items left!,1,Scarcity
Muc-Off,0,Not Dark Pattern
Frequently Asked Questions,0,Not Dark Pattern
We value your input. Share your review so everyone else can enjoy it too.,0,Not Dark Pattern
"Someone in Byron Bay, NSW just bought",1,Social Proof
Last 1 left,1,Scarcity
Limited quantity available,1,Scarcity
 ॐ Welcome to Devshoppe Sign In or Create an Account ,0,Not Dark Pattern
Code of Conduct,0,Not Dark Pattern
Macro Focussing Rails,0,Not Dark Pattern
Tactical Rifles,0,Not Dark Pattern
Bottoms Deals,0,Not Dark Pattern
Checkout within 04:10 so we don't run out of stock!,1,Urgency
"3,081 people have viewed this item",1,Social Proof
 Champagne Taittinger ,0,Not Dark Pattern
Hurry! Only 7 left,1,Scarcity
"19,302 people have added this item to cart",1,Social Proof
"We will also send you an additional email confirming your renewal. Should you elect not to renew your Membership, you may cancel at any time prior to the renewal by emailing us at passportmembership@1800flowers.com and your credit/debit card on file with us will not be charged. A confirmation email will be sent to you. If you email to cancel after your Membership has been renewed, your credit/debit card will have been charged the then current paid annual membership fee for the Passport Program, however you may request, and 1-800-Flowers may grant, a pro-rata refund within its sole discretion based upon the extent that you may have utilized the benefits of the Passport Program and the period of time remaining on your paid Membership.",1,Obstruction
"Howdy stranger, looks like your trail has hit a dead end.",0,Not Dark Pattern
 Maker Faire News ,0,Not Dark Pattern
31 people seeing this product right now,1,Social Proof
3 other people are currently viewing this item.,1,Social Proof
Favored By: 400 people!,1,Social Proof
 All Shoes ,0,Not Dark Pattern
 What's New New arrivals daily ,0,Not Dark Pattern
143 BOUGHT,1,Social Proof
WARNING! Only 5 left in stock!,1,Scarcity
"No thanks, I've got too much cool Glock stuff!",1,Misdirection
43 added to bag in the last 48hrs,1,Social Proof
67% offers claimed. Hurry up!,1,Scarcity
Party & Birthday Novelties,0,Not Dark Pattern
 Temple Locks ,0,Not Dark Pattern
Sara from Philadelphia just saved $68 on her order.,1,Social Proof
17 people have viewed this wine today,1,Social Proof
 Data Processor: Amobee ,0,Not Dark Pattern
new merch coming soon,0,Not Dark Pattern
Prices subject to change without notice. Products shown may not be available in our stores.,0,Not Dark Pattern
Add your favourites to cart,0,Not Dark Pattern
Free Shipping On Orders Over $49* - Limited Time Only,1,Urgency
"Someone in DOVER, United States just bought Crew 15 mins ago",1,Social Proof
 Payment Methods ,0,Not Dark Pattern
 Also notify me about New Arrivals! ,0,Not Dark Pattern
POSTED BY @missladywoolf#motoin,0,Not Dark Pattern
 All Personalised Gifts ,0,Not Dark Pattern
HURRY! ONLY 19 LEFT IN STOCK.,1,Scarcity
Massive Tax Time Sale See Discounts! Sale ends in,1,Urgency
Special sale ends in,1,Urgency
"By clicking “Accept All Cookies”, you agree to the storing of cookies on your device to enhance site navigation, analyze site usage, and assist in our marketing efforts. ",0,Not Dark Pattern
Sorry! This product is no longer available,0,Not Dark Pattern
Brand: Ray-Ban® | Similar products from Ray-Ban®,0,Not Dark Pattern
"No thanks, free stuff isn't for me.",1,Misdirection
Only 2 Left,1,Scarcity
 Colored Contact Lenses ,0,Not Dark Pattern
"Israël in Metz, France purchased a More ADVANCED Chord Substitutions",1,Social Proof
In stock | 44 left,1,Scarcity
only 7 pieces left,1,Scarcity
Download Now,0,Not Dark Pattern
Beach Towels & Mats,0,Not Dark Pattern
ENDS IN - Flash Offer - TWO PAIRS OF SHOES FOR $319 PROMO CODE AUTO-APPLIED AT CHECKOUT! 0 Days : 16 Hours : 09 Minutes : 57 Seconds,1,Urgency
"Hurry, limited quantities left!",1,Scarcity
Light Works,0,Not Dark Pattern
"Both of these jerseys are awesome, I couldn’t have asked for better quality.",0,Not Dark Pattern
Only 14 left!,1,Scarcity
"NO THANKS, I DON'T WANT 20% OFF MY ORDER",1,Misdirection
I already have this item. Do not add this to cart,1,Misdirection
Security Cameras,0,Not Dark Pattern
Cross Body,0,Not Dark Pattern
" -- Preeti Shenoy, author of THE RULE BREAKERS",0,Not Dark Pattern
Royal Python Vivariums,0,Not Dark Pattern
Stone Island Junior,0,Not Dark Pattern
ONLY 1 LEFT!,1,Scarcity
 Sustainably made,0,Not Dark Pattern
Bob's For Business,0,Not Dark Pattern
"""We'd love to send you emails with offers and new products from New Balance Athletics, Inc. but if you do not wish to receive these updates, please tick this box.",1,Misdirection
Boys Green School Uniforms,0,Not Dark Pattern
 Show Password ,0,Not Dark Pattern
Pay Securely with Trespass,0,Not Dark Pattern
Limited Stock!,1,Scarcity
 adidas Originals Stan Smith ,0,Not Dark Pattern
"LIMITED TIME - BUY THE NEW PURPLE PLUSH PILLOW, GET ONE FREE",1,Urgency
 Functional Marketing Cookies,0,Not Dark Pattern
Limited Time Offers,1,Urgency
Someone in Bacchus Marsh bought a Noosa Basics Deodorant Stick - Sensitive (60g) 27 seconds ago,1,Social Proof
436 users are currently active on our website Just now,1,Social Proof
"Exposed Membership (recurring subscription) and Cancellations  If You order with Exposed Membership, you are selecting a recurring billing subscription, where You will receive a new kit approximately every 60 days. You are able to cancel by contacting Exposed customer care at 1-866-404-7656, 8am – 4pm Pacific Time, M-F.  If You are part of our Monthly installment program, You will be billed in two monthly installments for each acne kit shipped. Each kit will be shipped every two months unless your membership is canceled. To cancel Your Exposed Membership, You must: 1. first pay in full for all kits that have been shipped 2. and, then contact Exposed customer care at 1-866-404-7656 8am – 4pm Pacific Time, M-F to process Your cancellation.",1,Obstruction
Sale Coats and Jackets,0,Not Dark Pattern
Shop By Brands,0,Not Dark Pattern
Did you know that Shaver heads need replacing every 12 - 18 months? Get the Shaver Guard cleaning spray to extend its life for up to another 6 months!,1,Misdirection
ROAD CLOTHING,0,Not Dark Pattern
"No thanks, I don't want to build one.. I'd rather kick rocks!",1,Misdirection
 Menstrual Products ,0,Not Dark Pattern
4 SEATS LEFT,1,Scarcity
Someone in Keilor East bought a Piranta-Edge Skinning Knife - Blaze - Havalon Knives54 minutes ago,1,Social Proof
Shoes & Clothing,0,Not Dark Pattern
Imported,0,Not Dark Pattern
Will sell out fast!,1,Scarcity
Get it fast! 14 added to bag today,1,Social Proof
Herbaceous oil rich in anti-aging polyphenols.,0,Not Dark Pattern
HURRY! LESS THAN 129 LEFT.,1,Scarcity
"Ken in Three Bridges, United States purchased All Zebrawood + Olive Ash",1,Social Proof
Only 3 left in stock,1,Scarcity
We only have 5 left!,1,Scarcity
"Nah, I like paying full price",1,Misdirection
2 people have looked at this in the last couple of hrs.,1,Social Proof
Real time 30 Visitor right now,1,Social Proof
Drawstring Backpacks,0,Not Dark Pattern
Please note all products are made in limited quantities and we rarely restock - checkout now so you don't miss out!,1,Scarcity
"No thanks, I don't like getting free stuff.",1,Misdirection
THIS PRODUCT HAS BEEN VIEWED 480 TIMES IN THE LAST 48 HOURS,1,Social Proof
HURRY! ONLY 2 LEFT!,1,Scarcity
Less than 7 left!,1,Scarcity
BOTTLES LEFT 3,1,Scarcity
Items reserved for 15:00,1,Urgency
ONLY 4 LEFT!,1,Scarcity
-90% discount if you order within 9:55:44,1,Urgency
 Latest looks from Myleene Klass Shop now ,0,Not Dark Pattern
Only 9 left in stock,1,Scarcity
ADD FOR BETTER RESULTS,1,Misdirection
 Affiliate ,0,Not Dark Pattern
Auto Delivery Program,0,Not Dark Pattern
Save $148.98AUD – 49% Off,1,Misdirection
Low Stock – Selling Fast,1,Scarcity
2 PEOPLE HAVE ADDED THIS ITEM TO THEIR CART TODAY,1,Social Proof
Only 6 left,1,Scarcity
Pro Boost Treatments,0,Not Dark Pattern
Baby Nursing & Feeding,0,Not Dark Pattern
4 bought in the last 24 hours.,1,Social Proof
We're offline,0,Not Dark Pattern
12 customers viewed this product today!,1,Social Proof
 Gemstone softwares ,0,Not Dark Pattern
Graphic Tanks,0,Not Dark Pattern
LOW STOCK (ONLY 10 LEFT!),1,Scarcity
"JOHN in Toowoomba City, Australia purchased a Resin Tank 7 hours ago",1,Social Proof
 V-neck Printed Loose Short-sleeved T-shirt ,0,Not Dark Pattern
Limited Time Only · Online Only,1,Urgency
 Teething Remedies ,0,Not Dark Pattern
Partnerships,0,Not Dark Pattern
Accord remotes,0,Not Dark Pattern
72 Viewing This Product,1,Social Proof
Something went wrong. Please try again,0,Not Dark Pattern
 Coloured Pencils ,0,Not Dark Pattern
Only 1 left in stock!,1,Scarcity
Only 9 units left in stock online.,1,Scarcity
Feeding Nightwear,0,Not Dark Pattern
 Gift Card FAQs ,0,Not Dark Pattern
Someone in Canberra purchased\nADV.2 (Austracantha) about 41 minutes ago,1,Social Proof
Ducted Vacuum Cleaners,0,Not Dark Pattern
Work Solid Simple Crew Neck Half Sleeve Top,0,Not Dark Pattern
"No thank you, I prefer to pay for shipping.",1,Misdirection
White Plus Size Clothing,0,Not Dark Pattern
"No thanks, I don't like exclusive offers",1,Misdirection
273 units sold in the last 30 days,1,Social Proof
"No thanks, I'll just pay full price.",1,Misdirection
"No, I'd rather do it the hard way...",1,Misdirection
User interface customization persistent cookies are used to store a user’s preference regarding a service. Please note that these cookies are exempt from consent.,0,Not Dark Pattern
"After getting my jersey on Monday, I am hooked on CoolHockey. I will surely be buying from CoolHockey from now on.",0,Not Dark Pattern
Congratulations! You qualify to receive Rechargeable 10-Function Bullet Vibe for FREE!,1,Misdirection
Other 2 customers have it in their cart.,1,Social Proof
Elegant A Line Chiffon V-neck Long Sleeve Bridesmaid Dress with Pleats and Ruching,0,Not Dark Pattern
White Camo Windbreaker - Rock N' Roll,0,Not Dark Pattern
xB Remotes,0,Not Dark Pattern
 Football Boots ,0,Not Dark Pattern
